ID,Name,Department,Year of Study,Bio Description,Interests,Skills (Top 5),Latest Achievement,Availability,Clubs
22217990,Nicole Rubio,CSE AI,2,Creative Hardworking Analytical Passionate Team player,"Gaming, Art","Django, HTML, CSS, Keras, FLutter",Won Hackathon,No,Hackathon VIIT
22218208,Nicole Vega,CSE AI,1,Team player Innovative Creative Analytical Passionate,"Art, AI","FLutter, Web Dev, HTML, Flask, Keras",Interned at XYZ,No,GFG
22213041,Regina Saunders,CSE AI,2,Motivated Problem solver Passionate Analytical Team player,"AI, Gaming","Python, HTML, C++, FLutter, Java",Completed AI Project,Yes,Avishkar VIIT
22214981,Joann Garcia,CSE AI,2,Team player Analytical Analytical Problem solver Motivated,"Art, Sports, Robotics, AI","Django, FLutter, Kotlin, React, Flask",Won Hackathon,Yes,Hackathon VIIT
22217217,Jacqueline Ramirez,Electronics,1,Analytical Team player Problem solver Innovative Passionate,"Sports, Art, Gaming, Blockchain","Django, React, Python, HTML, FLutter",Published Research Paper,No,GDSC
22212274,Gary Flores,Civil,1,Creative Passionate Motivated Hardworking Creative,"Robotics, Machine Learning, Blockchain, Deep Learning","Kotlin, C++, Flask, App Dev, Web Dev",Interned at XYZ,Yes,Hackathon VIIT
22213307,Christopher Atkinson,AI ML,2,Hardworking Motivated Innovative Team player Team player,"Gaming, Deep Learning, Art","Keras, TensorFlow, HTML, CSS, Django",Built Startup Prototype,Yes,I2IC
22219246,Monica Robinson,Computer Science,1,Innovative Analytical Hardworking Motivated Team player,"Music, Art, Blockchain","React, JavaScript, TensorFlow, Django, Flask",Interned at XYZ,Yes,Hackathon VIIT
22214608,Alyssa Hanson,Civil,3,Motivated Motivated Motivated Analytical Innovative,"Deep Learning, Blockchain","HTML, JavaScript, Django, TensorFlow, SQL",Published Research Paper,Yes,CyberCELL
22215746,Rebecca Wagner,Computer Science,4,Team player Passionate Hardworking Team player Creative,"Music, AI, Gaming","SQL, TensorFlow, Java, Keras, Python",Interned at XYZ,Yes,I2IC
22213574,Samuel Powell,Civil,4,Passionate Hardworking Hardworking Hardworking Creative,"AI, Blockchain","Django, SQL, Java, Kotlin, App Dev",Completed AI Project,No,EDC
22215560,Justin Hunt,Mechanical,4,Creative Creative Hardworking Motivated Team player,"AI, Machine Learning","SQL, TensorFlow, App Dev, Keras, React",Published Research Paper,Yes,GFG
22214017,John Bailey,AI DS,1,Team player Team player Problem solver Analytical Passionate,"AI, Gaming, Blockchain, Web Development","TensorFlow, App Dev, CSS, React, Flask",Built Startup Prototype,Yes,Cisco VIIT
22216197,William Paul,Mechanical,3,Innovative Creative Passionate Creative Innovative,"Sports, Gaming, Music","Keras, FLutter, SQL, TensorFlow, Python",Published Research Paper,No,GFG
22215144,Joseph King,AI ML,2,Analytical Passionate Innovative Passionate Team player,"Robotics, Art, Blockchain","Web Dev, SQL, Java, TensorFlow, App Dev",Built Startup Prototype,No,Avishkar VIIT
22215100,Jeffrey Peterson,Computer Science,3,Passionate Passionate Team player Analytical Problem solver,"Gaming, Deep Learning, Robotics","SQL, HTML, Django, Web Dev, Kotlin",Built Startup Prototype,No,I2IC
22213669,Matthew Wallace,IT,4,Passionate Problem solver Analytical Innovative Hardworking,"Gaming, Web Development, Music","C++, CSS, SQL, Django, Python",Interned at XYZ,Yes,Robotics
22219506,Charles Lee,Mechanical,1,Hardworking Team player Innovative Passionate Problem solver,"AI, Web Development, Deep Learning","Keras, Java, Python, TensorFlow, FLutter",Interned at XYZ,No,Robotics
22215549,Darryl Ryan,Electronics,4,Problem solver Problem solver Innovative Hardworking Problem solver,"Machine Learning, Sports","Keras, FLutter, CSS, App Dev, C++",Won Hackathon,No,I2IC
22217095,Christina Miller,Electronics,1,Problem solver Hardworking Hardworking Team player Innovative,"Machine Learning, Deep Learning, Gaming","Python, SQL, TensorFlow, Java, App Dev",Completed AI Project,No,EDC
22216807,Jessica Wood,IT,3,Creative Motivated Team player Motivated Passionate,"Blockchain, Web Development","JavaScript, CSS, Kotlin, React, Flask",Built Startup Prototype,No,CyberCELL
22218526,Christine Palmer,Mechanical,3,Team player Passionate Problem solver Team player Innovative,"Blockchain, Robotics","C++, Java, Python, Keras, JavaScript",Interned at XYZ,Yes,Cisco VIIT
22212435,Warren Nelson,Civil,3,Hardworking Creative Passionate Analytical Creative,"Robotics, Blockchain, Art, Music","TensorFlow, App Dev, Keras, Kotlin, Web Dev",Published Research Paper,No,Researchers and Innovators
22215120,Jeffrey Smith,Electronics,1,Problem solver Passionate Analytical Team player Motivated,"Blockchain, Deep Learning, Art, Robotics","TensorFlow, App Dev, SQL, FLutter, Flask",Won Hackathon,Yes,Researchers and Innovators
22213992,Linda Schultz,IT,4,Passionate Passionate Analytical Passionate Creative,"Gaming, Blockchain","Python, Java, Keras, JavaScript, Web Dev",Published Research Paper,Yes,CyberCELL
22216206,Billy Edwards,CSE AI,2,Problem solver Hardworking Team player Motivated Hardworking,"Art, Music","Flask, HTML, TensorFlow, Python, C++",Completed AI Project,Yes,I2IC
22211842,Laurie Williams,CSE AI,1,Creative Motivated Innovative Team player Creative,"Art, Gaming, Web Development, AI","Kotlin, Web Dev, React, SQL, Python",Completed AI Project,Yes,Hackathon VIIT
22218901,Tracy Ferguson,Computer Science,1,Hardworking Analytical Passionate Problem solver Team player,"Machine Learning, Music, Web Development","Keras, C++, HTML, SQL, TensorFlow",Interned at XYZ,Yes,Researchers and Innovators
22219166,Kelly Fox MD,Civil,1,Creative Team player Team player Team player Hardworking,"Deep Learning, Sports, Blockchain, Art","CSS, FLutter, App Dev, Python, Java",Won Hackathon,Yes,GFG
22214808,Brenda Garcia,IT,3,Passionate Problem solver Hardworking Analytical Passionate,"AI, Blockchain, Web Development, Music","Web Dev, Kotlin, Keras, Python, TensorFlow",Published Research Paper,No,Researchers and Innovators
22215853,Linda Lewis,Computer Science,3,Hardworking Creative Problem solver Team player Team player,"Web Development, Sports","React, Java, CSS, FLutter, SQL",Won Hackathon,Yes,Hackathon VIIT
22211644,Ann Jones,AI DS,4,Motivated Creative Team player Passionate Analytical,"Blockchain, Deep Learning, Gaming","Python, Java, Django, TensorFlow, Web Dev",Won Hackathon,No,EDC
22216670,Julie Allen,Electronics,1,Passionate Motivated Innovative Passionate Analytical,"Robotics, Web Development, AI, Machine Learning","Django, Python, Web Dev, FLutter, App Dev",Completed AI Project,No,Researchers and Innovators
22212293,John Kennedy,Electronics,2,Analytical Hardworking Team player Problem solver Passionate,"Web Development, Art, Machine Learning","SQL, JavaScript, React, HTML, C++",Completed AI Project,Yes,Hackathon VIIT
22218437,Crystal Velez,AI ML,2,Motivated Analytical Problem solver Hardworking Hardworking,"Sports, Web Development, Robotics, Art","HTML, FLutter, Web Dev, TensorFlow, JavaScript",Interned at XYZ,No,Robotics
22216826,Elizabeth Acosta,AI ML,4,Creative Motivated Hardworking Passionate Analytical,"Machine Learning, Sports, Art","Django, HTML, React, Python, CSS",Interned at XYZ,Yes,EDC
22217491,Timothy Serrano,AI DS,3,Analytical Analytical Innovative Hardworking Analytical,"Music, Sports, AI","HTML, Python, SQL, CSS, JavaScript",Interned at XYZ,Yes,Researchers and Innovators
22217058,Jennifer Molina,AI DS,4,Motivated Problem solver Team player Motivated Analytical,"Gaming, Art, Machine Learning","Java, FLutter, Python, Flask, Keras",Completed AI Project,No,Hackathon VIIT
22218943,Tiffany Perez,Mechanical,3,Analytical Motivated Problem solver Passionate Innovative,"AI, Robotics, Art, Sports","Flask, App Dev, HTML, SQL, C++",Won Hackathon,Yes,CyberCELL
22216386,Gregory Patterson,Civil,1,Hardworking Creative Hardworking Hardworking Problem solver,"Music, Art","Java, CSS, FLutter, Django, Flask",Won Hackathon,Yes,Hackathon VIIT
22219339,Morgan Martinez,Electronics,1,Analytical Hardworking Analytical Innovative Problem solver,"Robotics, Deep Learning, Machine Learning, Web Development","HTML, Keras, JavaScript, App Dev, Python",Won Hackathon,No,Robotics
22219690,Justin Cruz,CSE AI,4,Innovative Analytical Passionate Creative Hardworking,"Art, Web Development, AI, Deep Learning","TensorFlow, SQL, C++, App Dev, Django",Published Research Paper,No,EDC
22218428,Lisa Robinson,AI DS,1,Hardworking Analytical Passionate Motivated Motivated,"Sports, Deep Learning, Art, Machine Learning","React, Web Dev, HTML, SQL, Flask",Published Research Paper,Yes,Avishkar VIIT
22216198,Daniel Hart,CSE AI,3,Hardworking Creative Passionate Creative Innovative,"Gaming, Art","TensorFlow, Django, Java, App Dev, Flask",Built Startup Prototype,No,Robotics
22215536,Kristin Cox,CSE AI,3,Team player Hardworking Team player Innovative Problem solver,"AI, Blockchain","App Dev, SQL, Django, CSS, Web Dev",Won Hackathon,Yes,GDSC
22219225,Daniel Raymond,Computer Science,3,Hardworking Innovative Motivated Analytical Passionate,"Deep Learning, Sports, Web Development, Blockchain","App Dev, JavaScript, Kotlin, FLutter, Django",Interned at XYZ,Yes,Robotics
22211031,Matthew Reed,Electronics,4,Motivated Problem solver Hardworking Problem solver Analytical,"Music, Art, Sports, Gaming","Django, TensorFlow, Web Dev, React, Keras",Interned at XYZ,No,Robotics
22214380,Heather Gross,IT,4,Hardworking Team player Problem solver Motivated Motivated,"Machine Learning, Robotics, Music","Web Dev, Django, TensorFlow, Flask, C++",Won Hackathon,Yes,Cisco VIIT
22214935,Robert Hernandez,AI ML,3,Hardworking Problem solver Analytical Innovative Motivated,"Deep Learning, Sports","HTML, Web Dev, TensorFlow, Django, Python",Published Research Paper,No,CyberCELL
22216148,Andre Adams,Mechanical,3,Motivated Problem solver Motivated Innovative Hardworking,"AI, Web Development, Deep Learning, Gaming","Python, FLutter, Django, React, Keras",Built Startup Prototype,Yes,I2IC
22212594,Kyle Allen,AI DS,2,Problem solver Passionate Problem solver Team player Problem solver,"Web Development, Art, AI","SQL, TensorFlow, C++, Django, Python",Won Hackathon,No,Robotics
22213963,Kimberly Taylor,IT,3,Motivated Team player Team player Creative Problem solver,"Sports, AI, Art","Keras, Flask, React, C++, HTML",Completed AI Project,No,CyberCELL
22218869,Amanda House,Mechanical,2,Hardworking Creative Analytical Hardworking Hardworking,"Blockchain, Music, Art, Sports","CSS, FLutter, SQL, HTML, Java",Completed AI Project,Yes,Cisco VIIT
22211269,Kevin Hernandez,AI DS,3,Innovative Passionate Team player Innovative Analytical,"Machine Learning, Sports","React, Django, Flask, JavaScript, TensorFlow",Interned at XYZ,Yes,Robotics
22216220,Jeff Cross,CSE AI,4,Problem solver Motivated Innovative Problem solver Problem solver,"Sports, Web Development, Music, Machine Learning","App Dev, React, JavaScript, SQL, Django",Published Research Paper,No,EDC
22212028,Philip Watkins,Mechanical,3,Analytical Motivated Problem solver Analytical Analytical,"Music, Art, Gaming","Keras, C++, FLutter, SQL, React",Published Research Paper,No,Cisco VIIT
22214210,Sarah Rocha,IT,3,Problem solver Problem solver Passionate Team player Creative,"Robotics, Machine Learning, Art","React, Python, Flask, Keras, JavaScript",Completed AI Project,Yes,Hackathon VIIT
